case_id,case_url,institution_name,program_name,specialty,degree_level,status,form_id,form_url,tabs_count,components_count,files_count,scrape_status,scraped_at
16086,https://public.naqa.gov.ua/v2/accreditation-folder/16086,,Документи акредитаційної справи,,,,16086,https://public.naqa.gov.ua/v2/form-se/16086/view,16,34,0,completed,2026-05-10T14:07:19.224968
16425,https://public.naqa.gov.ua/v2/accreditation-folder/16425,,Документи акредитаційної справи,,,,16425,https://public.naqa.gov.ua/v2/form-se/16425/view,16,36,0,completed,2026-05-10T13:01:04.213250
15959,https://public.naqa.gov.ua/v2/accreditation-folder/15959,,Документи акредитаційної справи,,,,15959,https://public.naqa.gov.ua/v2/form-se/15959/view,16,36,0,completed,2026-05-10T14:11:49.281946
15944,https://public.naqa.gov.ua/v2/accreditation-folder/15944,,,,,,,,0,0,0,partial,2026-05-10T14:11:49.333591
16257,https://public.naqa.gov.ua/v2/accreditation-folder/16257,,,,,,16257,https://public.naqa.gov.ua/v2/form-se/16257/view,16,33,0,completed,2026-05-10T13:43:10.378865
15912,https://public.naqa.gov.ua/v2/accreditation-folder/15912,,Документи акредитаційної справи,,,,15912,https://public.naqa.gov.ua/v2/form-se/15912/view,16,27,0,completed,2026-05-10T14:20:36.694155
16545,https://public.naqa.gov.ua/v2/accreditation-folder/16545,,Документи акредитаційної справи,,,,16545,https://public.naqa.gov.ua/v2/form-se/16545/view,16,28,0,completed,2026-05-10T07:23:09.203644
16176,https://public.naqa.gov.ua/v2/accreditation-folder/16176,,,,,,16176,https://public.naqa.gov.ua/v2/form-se/16176/view,16,37,0,completed,2026-05-10T13:53:43.037095
16475,https://public.naqa.gov.ua/v2/accreditation-folder/16475,,Документи акредитаційної справи,,,,16475,https://public.naqa.gov.ua/v2/form-se/16475/view,16,37,0,completed,2026-05-10T07:31:10.261924
16518,https://public.naqa.gov.ua/v2/accreditation-folder/16518,,Документи акредитаційної справи,,,,16518,https://public.naqa.gov.ua/v2/form-se/16518/view,16,31,0,completed,2026-05-10T07:26:54.252882
16462,https://public.naqa.gov.ua/v2/accreditation-folder/16462,,Документи акредитаційної справи,,,,16462,https://public.naqa.gov.ua/v2/form-se/16462/view,16,42,0,completed,2026-05-10T12:56:53.588305
16306,https://public.naqa.gov.ua/v2/accreditation-folder/16306,,Документи акредитаційної справи,,,,16306,https://public.naqa.gov.ua/v2/form-se/16306/view,16,45,0,completed,2026-05-10T13:30:06.638717
16105,https://public.naqa.gov.ua/v2/accreditation-folder/16105,,Документи акредитаційної справи,,,,16105,https://public.naqa.gov.ua/v2/form-se/16105/view,16,32,0,completed,2026-05-10T14:02:27.734206
16344,https://public.naqa.gov.ua/v2/accreditation-folder/16344,,Документи акредитаційної справи,,,,16344,https://public.naqa.gov.ua/v2/form-se/16344/view,16,44,0,completed,2026-05-10T13:10:40.346292
16342,https://public.naqa.gov.ua/v2/accreditation-folder/16342,,Документи акредитаційної справи,,,,,,0,0,0,partial,2026-05-10T13:10:40.460860
16262,https://public.naqa.gov.ua/v2/accreditation-folder/16262,,Документи акредитаційної справи,,,,16262,https://public.naqa.gov.ua/v2/form-se/16262/view,16,27,0,completed,2026-05-10T13:38:57.873646
16199,https://public.naqa.gov.ua/v2/accreditation-folder/16199,,Документи акредитаційної справи,,,,16199,https://public.naqa.gov.ua/v2/form-se/16199/view,16,47,0,completed,2026-05-10T13:48:46.314218
15942,https://public.naqa.gov.ua/v2/accreditation-folder/15942,,Документи акредитаційної справи,,,,15942,https://public.naqa.gov.ua/v2/form-se/15942/view,16,39,0,completed,2026-05-10T14:16:22.714984
16310,https://public.naqa.gov.ua/v2/accreditation-folder/16310,,Документи акредитаційної справи,,,,16310,https://public.naqa.gov.ua/v2/form-se/16310/view,16,47,0,completed,2026-05-10T13:25:05.591245
15894,https://public.naqa.gov.ua/v2/accreditation-folder/15894,,Документи акредитаційної справи,,,,15894,https://public.naqa.gov.ua/v2/form-se/15894/view,16,42,0,completed,2026-05-10T14:24:51.347937
16114,https://public.naqa.gov.ua/v2/accreditation-folder/16114,,Документи акредитаційної справи,,,,16114,https://public.naqa.gov.ua/v2/form-se/16114/view,16,33,0,completed,2026-05-10T13:58:12.905693
16286,https://public.naqa.gov.ua/v2/accreditation-folder/16286,,Документи акредитаційної справи,,,,16286,https://public.naqa.gov.ua/v2/form-se/16286/view,16,41,0,completed,2026-05-10T13:34:56.312262
16398,https://public.naqa.gov.ua/v2/accreditation-folder/16398,,Документи акредитаційної справи,,,,16398,https://public.naqa.gov.ua/v2/form-se/16398/view,16,43,0,completed,2026-05-10T13:05:44.937391
16332,https://public.naqa.gov.ua/v2/accreditation-folder/16332,,Документи акредитаційної справи,,,,16332,https://public.naqa.gov.ua/v2/form-se/16332/view,16,29,0,completed,2026-05-10T13:14:51.412589
16324,https://public.naqa.gov.ua/v2/accreditation-folder/16324,,Документи акредитаційної справи,,,,16324,https://public.naqa.gov.ua/v2/form-se/16324/view,16,41,0,completed,2026-05-10T13:19:55.164345
